,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
120034,0.6759999999999999,"Leroy Anderson', 'Boston Pops Orchestra', 'Arthur Fiedler",0.585,175040,0.39,0,5dNSCE4GlMztNLcFTbApdN,0.0221,10,0.193,-14.978,1,Sleigh Ride,29,1987-01-01,0.0312,114.274,0.815,1987
39706,0.96,Francisco Canaro,0.754,177093,0.387,0,4UGkk8JUnO1FhMnYt37mKN,0.0655,2,0.112,-13.688,1,En Silencio - Instrumental (Remasterizado),0,1927-09-11,0.0787,113.183,0.8,1927
41830,0.899,Κώστας Ρούκουνας,0.6709999999999999,90266,0.49,0,7h3AcGMhhYfyAWsIH5QtZk,0.0016600000000000002,2,0.46,-9.582,0,Ήλθε κι ο Κωνσταντίνος μας,0,1937-01-01,0.0503,129.168,0.92,1937
155790,0.0285,"Robin Thicke', 'Pharrell Williams",0.902,263280,0.358,0,0KM6AKdy0UPr7U4s7nPuwc,0.00992,9,0.0917,-9.032,0,Wanna Love You Girl - Main,47,2006-01-01,0.15,116.025,0.773,2006
145672,0.979,Djalma Ferreira,0.6970000000000001,133333,0.397,0,0s3EZNq3aoMHwLLDxegEQb,0.8170000000000001,6,0.345,-16.072,1,Língua de Sogra,0,1954-03-01,0.0852,119.295,0.807,1954
28803,0.8959999999999999,The Electric Prunes,0.39,162307,0.14,0,0Aa6hHw9x7pRbifLrVHqfd,0.198,5,0.112,-22.53,1,Onie,40,1967,0.0392,111.737,0.0836,1967
2336,0.989,Anson Weeks & His Orchestra,0.473,184267,0.15,0,5LKZoduyD8SpdPn8tlz5fx,0.000213,9,0.259,-18.97,1,Please,5,1932,0.0838,123.539,0.368,1932
15534,0.0803,Men Without Hats,0.632,165507,0.5820000000000001,0,4t5lrf5rFX6JWAUPKCDlKk,0.00351,5,0.0832,-13.461,1,Safety Dance,58,1998-01-01,0.044,101.641,0.578,1998
114368,0.16899999999999998,"Johnny Hodges', 'Gerry Mulligan",0.847,448547,0.313,0,6YflSNd6sPlzlazQsA3QFK,0.0186,6,0.24,-12.157,1,Back Beat,10,1959-01-01,0.038,116.585,0.39,1959
112471,0.985,Sandhya Mukherjee,0.35700000000000004,181373,0.317,0,2cLgREWvIV9C7U9zv3kZVX,0.6920000000000001,11,0.117,-15.876,1,Manusher Mone Bhor Holo Aaj,0,1949-12-01,0.0751,75.82600000000002,0.4920000000000001,1949
47292,7.58e-05,"Them', 'Van Morrison",0.408,163453,0.857,0,4jyTPINPO1Zc6an1zPWJTy,0.2,9,0.151,-7.334,1,Mystic Eyes (feat. Van Morrison) - Mono Version,33,1965-06-11,0.0713,121.334,0.487,1965
116803,0.942,Michael Hurley,0.792,173387,0.366,0,6VopQUKleMjxpmutCPeM7e,0.0013,9,0.645,-10.133,1,Open Up,25,1971-09-01,0.0369,96.45,0.852,1971
151419,0.116,Depeche Mode,0.669,440832,0.653,0,6G6s82aFYVNCKK0jvTx4qp,9.04e-06,0,0.0778,-10.336,1,Everything Counts - In Larger Amounts,23,1983-09-14,0.0284,113.852,0.551,1983
36315,3.32e-05,Mode Hookers,0.56,58469,0.953,0,0Mb63Q5ZoWlnCHh82vjI1d,0.388,11,0.187,-13.78,1,Breathe [ASOT 229] - Instrumental Mix,10,2005-12-29,0.0638,131.378,0.339,2005
38616,0.108,"Bad Bunny', 'Ozuna', 'Farruko', 'Arcangel', 'Ñengo Flow', 'DJ Luian', 'Mambo Kingz",0.813,286041,0.56,1,6C1RD7YQVvt3YQj0CmuTeu,0.0,2,0.268,-5.904,0,Diles,74,2016-08-26,0.0618,118.033,0.287,2016
126002,0.0032600000000000003,Tritemyo,0.807,434083,0.823,0,1yzYl8eKrhvWOJQPbpaf2t,0.908,8,0.0699,-4.211,0,Mental Knowledge - Rework 2017,0,2018-07-26,0.0746,124.003,0.455,2018
49573,0.0325,REO Speedwagon,0.581,245240,0.906,0,6jCQsJUtU9XOtM2b8LkTBf,5.93e-05,1,0.133,-5.573,0,Keep Pushin',38,1976-05-21,0.0418,147.594,0.813,1976
